vx,vy,vz,rmse_xy,rmse_threshold
0,0,0,0.012338302,0.05
0,0,0,0.013808785,0.05
0,0,0,0.014163148,0.05
0,0,0,0.011997441,0.05
0,0,0,0.018582465,0.05
0,0,0,0.011954352,0.05
0,0,0,0.015406494,0.05
0,0,0,0.012585075,0.05
0,0,0,0.010796633,0.05
0,0,0,0.011281519,0.05
0,0,0,0.008818596,0.05
0,0,0,0.009164216,0.05
0,0,0,0.013594149,0.05
0,0,0,0.015199651,0.05
0,0,0,0.015779818,0.05
0,0,0,0.011333569,0.05
0,0,0,0.014690183,0.05
0,0,0,0.015590472,0.05
0,0,0,0.013593507,0.05
0,0,0,0.010572727,0.05
0,0,0,0.012923834,0.05
0,0,0,0.0108214,0.05
0,0,0,0.008248256,0.05
0,0,0,0.011869712,0.05
0,0,0,0.012114988,0.05
0,0,0,0.008197665,0.05
0,0,0,0.015904799,0.05
0,0,0,0.014893989,0.05
0,0,0,0.015690837,0.05
0,0,0,0.012379317,0.05
0,0,0,0.016270298,0.05
0,0,0,0.008959813,0.05
0,0,0,0.012370305,0.05
0,0,0,0.013440879,0.05
0,0,0,0.01211304,0.05
0,0,0,0.0113866,0.05
0,0,0,0.014013731,0.05
0,0,0,0.012966951,0.05
0,0,0,0.007842277,0.05
0,0,0,0.010096965,0.05
0,0,0,0.008382188,0.05
0,0,0,0.013094928,0.05
0,0,0,0.010015374,0.05
0,0,0,0.010015374,0.05
0,0,0,0.014858247,0.05
0,0,0,0.01226048,0.05
0,0,0,0.013133588,0.05
0,0,0,0.016060059,0.05
0,0,0,0.01651534,0.05
0,0,0,0.012487605,0.05
0,0,0,0.011083813,0.05
0,0,0,0.013192104,0.05
0,0,0,0.015977473,0.05
0,0,0,0.015629257,0.05
0,0,0,0.010981083,0.05
0,0,0,0.009490466,0.05
0,0,0,0.016478239,0.05
0,0,0,0.012404897,0.05
0,0,0,0.011700681,0.05
0,0,0,0.011879884,0.05
0,0,0,0.015447961,0.05
0,0,0,0.008879296,0.05
0,0,0,0.013199679,0.05
0,0,0,0.01609958,0.05
0,0,0,0.009098897,0.05
0,0,0,0.019318864,0.05
0,0,0,0.007590427,0.05
0,0,0,0.010975837,0.05
0,0,0,0.012459086,0.05
0,0,0,0.009988589,0.05
0,0,0,0.016344886,0.05
0,0,0,0.013057869,0.05
0,0,0,0.009820887,0.05
0,0,0,0.008691909,0.05
0,0,0,0.01180013,0.05
0,0,0,0.010920734,0.05
0,0,0,0.013193441,0.05
0,0,0,0.01264667,0.05
0,0,0,0.015815374,0.05
0,0,0,0.015815374,0.05
0,0,0,0.01454674,0.05
0,0,0,0.01148622,0.05
0,0,0,0.006910445,0.05
0,0,0,0.010884967,0.05
0,0,0,0.015078624,0.05
0,0,0,0.012623905,0.05
0,0,0,0.014436286,0.05
0,0,0,0.01235342,0.05
0,0,0,0.017414497,0.05
0,0,0,0.010572873,0.05
0,0,0,0.012722559,0.05
0,0,0,0.00878735,0.05
0,0,0,0.008408004,0.05
0,0,0,0.012181636,0.05
0,0,0,0.010883872,0.05
0,0,0,0.012309426,0.05
0,0,0,0.00922331,0.05
0,0,0,0.016983538,0.05
0,0,0,0.011223363,0.05
0,0,0,0.010423732,0.05
0,0,0,0.009084347,0.05
0,0,0,0.017959209,0.05
